"temp1","temp2","ldr","heater","humidity1","humidity2","pump","time"
"37","22","228","ON","27","74",,NULL
"36","22","228","ON","27","74",,NULL
"36","28","228","ON","27","74",,NULL
"36","28","228","ON","12","74",,NULL
"36","28","228","ON","12","94",,NULL
"36","28","919","ON","12","94",,NULL
"33","28","919","ON","12","94",,NULL
"33","27","919","ON","12","94",,NULL
"33","27","919","ON","12","77",,NULL
"33","27","919","ON","18","77",,NULL
"34","27","919","ON","18","77",,NULL
"34","30","919","ON","18","77",,NULL
"34","30","919","ON","41","77",,NULL
"34","30","919","ON","41","69",,NULL
"39","30","919","ON","41","69",,NULL
"39","24","919","ON","41","69",,NULL
"39","24","919","ON","49","69",,NULL
"39","24","919","ON","49","40",,NULL
"39","24","633","ON","49","40",,NULL
"34","24","633","ON","49","40",,NULL
"34","26","633","ON","49","40",,NULL
"34","26","633","ON","45","40",,NULL
"34","26","633","ON","45","79",,NULL
"34","26","633","ON","45","79",,NULL
"34","26","633","ON","45","79",,NULL
"35","26","633","ON","45","79",,NULL
"35","22","633","ON","45","79",,NULL
"35","22","633","ON","44","79",,NULL
"35","22","633","ON","44","77",,NULL
"30","22","633","ON","44","77",,NULL
"30","21","633","ON","44","77",,NULL
"30","21","633","ON","47","77",,NULL
"30","21","633","ON","47","86",,NULL
"30","21","243","ON","47","86",,NULL
"40","21","243","ON","47","86",,NULL
"40","26","243","ON","47","86",,NULL
"40","26","243","ON","60","86",,NULL
"40","26","243","ON","60","54",,NULL
"35","26","243","ON","60","54",,NULL
"35","22","243","ON","60","54",,NULL
"35","22","243","ON","9","54",,NULL
"35","22","243","ON","9","67",,NULL
"37","22","243","ON","9","67",,NULL
"37","25","243","ON","9","67",,NULL
"37","25","243","ON","20","67",,NULL
"37","25","243","ON","20","52",,NULL
"37","25","243","ON","20","52",,NULL
"37","25","243","ON","20","52",,NULL
"37","25","642","ON","20","52",,NULL
"33","25","642","ON","20","52",,NULL
"33","25","642","ON","33","52",,NULL
"33","23","642","ON","33","52",,NULL
"33","23","642","ON","33","83",,NULL
"34","23","642","ON","33","83",,NULL
"34","23","642","ON","25","83",,NULL
"34","23","642","ON","25","66",,NULL
"34","25","642","ON","25","66",,NULL
"31","25","642","ON","25","66",,NULL
"31","25","642","ON","48","66",,NULL
"31","25","642","ON","48","63",,NULL
"31","20","642","ON","48","63",,NULL
"31","20","284","ON","48","63",,NULL
"30","20","284","ON","48","63",,NULL
"30","20","284","ON","54","63",,NULL
"30","20","284","ON","54","45",,NULL
"30","25","284","ON","54","45",,NULL
"39","25","284","ON","54","45",,NULL
"39","25","284","ON","25","45",,NULL
"39","25","284","ON","25","41",,NULL
"39","22","284","ON","25","41",,NULL
"39","22","284","OFF","25","41",,NULL
"39","22","284","OFF","25","41",,NULL
"34","22","284","OFF","25","41",,NULL
"34","22","284","OFF","42","41",,NULL
"34","22","284","OFF","42","77",,NULL
"34","29","284","OFF","42","77",,NULL
"34","29","312","OFF","42","77",,NULL
"37","29","312","OFF","42","77",,NULL
"37","29","312","OFF","37","77",,NULL
"37","22","312","OFF","37","77",,NULL
"37","22","312","OFF","37","57",,NULL
"32","22","312","OFF","37","57",,NULL
"32","22","312","OFF","34","57",,NULL
"32","29","312","OFF","34","57",,NULL
"32","29","312","OFF","34","96",,NULL
"31","29","312","OFF","34","96",,NULL
"31","29","312","OFF","33","96",,NULL
"31","21","312","OFF","33","96",,NULL
"31","21","312","OFF","33","60",,NULL
"31","21","49","OFF","33","60",,NULL
"31","21","49","OFF","36","60",,NULL
"40","21","49","OFF","36","60",,NULL
"40","24","49","OFF","36","60",,NULL
"40","24","49","OFF","36","40",,NULL
"40","24","49","OFF","36","40",,NULL
"40","24","49","OFF","36","40",,NULL
"39","24","49","OFF","36","40",,NULL
"39","24","49","OFF","43","40",,NULL
"39","21","49","OFF","43","40",,NULL
"39","21","49","OFF","43","47",,NULL
"39","21","49","OFF","55","47",,NULL
"36","21","49","OFF","55","47",,NULL
"36","21","49","OFF","55","47",,NULL
"36","21","49","OFF","55","66",,NULL
"36","21","798","OFF","55","66",,NULL
"36","21","798","OFF","24","66",,NULL
"39","21","798","OFF","24","66",,NULL
"39","21","798","OFF","24","52",,NULL
"39","28","798","OFF","24","52",,NULL
"32","28","798","OFF","24","52",,NULL
"32","28","798","OFF","26","52",,NULL
"32","28","798","OFF","26","53",,NULL
"32","24","798","OFF","26","53",,NULL
"32","24","798","OFF","35","53",,NULL
"36","24","798","OFF","35","53",,NULL
"36","24","798","OFF","35","61",,NULL
"36","25","798","OFF","35","61",,NULL
"36","25","798","OFF","35","61",,NULL
"36","25","798","OFF","35","61",,NULL
"36","25","850","OFF","35","61",,NULL
"36","25","850","OFF","12","61",,NULL
"31","25","850","OFF","12","61",,NULL
"31","25","850","OFF","12","72",,NULL
"31","29","850","OFF","12","72",,NULL
"30","29","850","OFF","12","72",,NULL
"30","29","850","OFF","36","72",,NULL
"30","29","850","OFF","36","67",,NULL
"30","28","850","OFF","36","67",,NULL
"33","28","850","OFF","36","67",,NULL
"33","28","850","OFF","7","67",,NULL
"33","28","850","OFF","7","88",,NULL
"33","24","850","OFF","7","88",,NULL
"33","24","148","OFF","7","88",,NULL
"38","24","148","OFF","7","88",,NULL
"38","24","148","OFF","23","88",,NULL
"38","24","148","OFF","23","88",,NULL
"38","24","148","OFF","23","98",,NULL
"32","24","148","OFF","23","98",,NULL
"32","24","148","OFF","29","98",,NULL
"32","24","148","OFF","29","60",,NULL
"32","30","148","OFF","29","60",,NULL
"32","30","148","OFF","29","60",,NULL
"32","30","148","ON","29","60",,NULL
"32","30","148","ON","8","60",,NULL
"40","30","148","ON","8","60",,NULL
"40","30","148","ON","8","45",,NULL
"40","28","148","ON","8","45",,NULL
"40","28","838","ON","8","45",,NULL
"40","28","838","ON","21","45",,NULL
"36","28","838","ON","21","45",,NULL
"36","22","838","ON","21","45",,NULL
"36","22","838","ON","21","99",,NULL
"37","22","838","ON","21","99",,NULL
"37","22","838","ON","9","99",,NULL
"37","25","838","ON","9","99",,NULL
"37","25","838","ON","9","73",,NULL
"38","25","838","ON","9","73",,NULL
"38","25","838","ON","32","73",,NULL
"38","25","838","ON","32","72",,NULL
"38","26","838","ON","32","72",,NULL
"38","26","884","ON","32","72",,NULL
"36","26","884","ON","32","72",,NULL
"36","26","884","ON","21","72",,NULL
"36","26","884","ON","21","60",,NULL
"36","25","884","ON","21","60",,NULL
"36","25","884","ON","21","60",,NULL
"36","25","884","OFF","21","60",,NULL
"33","25","884","OFF","21","60",,NULL
"33","25","884","OFF","22","60",,NULL
"33","26","884","OFF","22","60",,NULL
"33","26","884","OFF","22","76",,NULL
"33","26","884","OFF","51","76",,NULL
"32","26","884","OFF","51","76",,NULL
"32","26","884","OFF","51","72",,NULL
"32","28","884","OFF","51","72",,NULL
"32","28","174","OFF","51","72",,NULL
"32","28","174","OFF","31","72",,NULL
"31","28","174","OFF","31","72",,NULL
"31","28","174","OFF","31","100",,NULL
"31","30","174","OFF","31","100",,NULL
"31","30","174","OFF","51","100",,NULL
"31","23","174","OFF","51","100",,NULL
"36","23","174","OFF","51","100",,NULL
"36","23","174","OFF","51","67",,NULL
"36","23","174","OFF","15","67",,NULL
"36","22","174","OFF","15","67",,NULL
"33","22","174","OFF","15","67",,NULL
"33","22","174","OFF","15","57",,NULL
"33","22","174","ON","15","57",,NULL
"33","22","174","ON","15","57",,NULL
"33","22","232","ON","15","57",,NULL
"33","22","232","ON","9","57",,NULL
"33","30","232","ON","9","57",,NULL
"30","30","232","ON","9","57",,NULL
"30","30","232","ON","9","66",,NULL
"30","30","232","ON","22","66",,NULL
"35","30","232","ON","22","66",,NULL
"35","23","232","ON","22","66",,NULL
"35","23","232","ON","22","85",,NULL
"35","23","232","ON","31","85",,NULL
"35","27","232","ON","31","85",,NULL
"30","27","232","ON","31","85",,NULL
"30","27","232","ON","31","80",,NULL
"30","27","150","ON","31","80",,NULL
"30","27","150","ON","36","80",,NULL
"31","27","150","ON","36","80",,NULL
"31","30","150","ON","36","80",,NULL
"31","30","150","ON","36","46",,NULL
"31","30","150","ON","52","46",,NULL
"31","30","150","ON","52","46",,NULL
"35","30","150","ON","52","46",,NULL
"35","30","150","ON","52","46",,NULL
"35","30","150","OFF","52","46",,NULL
"35","30","150","OFF","52","84",,NULL
"35","30","150","OFF","33","84",,NULL
"35","29","150","OFF","33","84",,NULL
"31","29","150","OFF","33","84",,NULL
"31","29","150","OFF","33","72",,NULL
"31","29","360","OFF","33","72",,NULL
"31","29","360","OFF","29","72",,NULL
"31","22","360","OFF","29","72",,NULL
"36","22","360","OFF","29","72",,NULL
"36","22","360","OFF","29","77",,NULL
"36","22","360","OFF","16","77",,NULL
"36","25","360","OFF","16","77",,NULL
"35","25","360","OFF","16","77",,NULL
"35","25","360","OFF","16","51",,NULL
"35","25","360","OFF","38","51",,NULL
"35","24","360","OFF","38","51",,NULL
"38","24","360","OFF","38","51",,NULL
"38","24","360","OFF","38","63",,NULL
"38","24","705","OFF","38","63",,NULL
"40","24","705","OFF","38","63",,NULL
"40","30","705","OFF","38","63",,NULL
"40","30","705","OFF","16","63",,NULL
"40","30","705","OFF","16","63",,NULL
"40","30","705","OFF","16","63",,NULL
"40","30","705","OFF","16","58",,NULL
"40","30","705","OFF","59","58",,NULL
"31","30","705","OFF","59","58",,NULL
"31","20","705","OFF","59","58",,NULL
"31","20","705","OFF","59","40",,NULL
"31","20","705","OFF","27","40",,NULL
"34","20","705","OFF","27","40",,NULL
"34","23","705","OFF","27","40",,NULL
"34","23","705","OFF","27","58",,NULL
"34","23","273","OFF","27","58",,NULL
"34","23","273","OFF","15","58",,NULL
"38","23","273","OFF","15","58",,NULL
"38","26","273","OFF","15","58",,NULL
"38","26","273","OFF","15","61",,NULL
"38","26","273","OFF","11","61",,NULL
"30","26","273","OFF","11","61",,NULL
"30","23","273","OFF","11","61",,NULL
"30","23","273","OFF","11","53",,NULL
"30","23","273","ON","11","53",,NULL
"30","23","273","ON","11","53",,NULL
"30","23","273","ON","27","53",,NULL
"35","23","273","ON","27","53",,NULL
"35","29","273","ON","27","53",,NULL
"35","29","273","ON","27","86",,NULL
"35","29","609","ON","27","86",,NULL
"35","29","609","ON","50","86",,NULL
"38","29","609","ON","50","86",,NULL
"38","29","609","ON","50","86",,NULL
"38","29","609","ON","50","90",,NULL
"31","29","609","ON","50","90",,NULL
"31","29","609","ON","33","90",,NULL
"31","27","609","ON","33","90",,NULL
"31","27","609","ON","33","58",,NULL
"35","27","609","ON","33","58",,NULL
"35","22","609","ON","33","58",,NULL
"35","22","609","ON","18","58",,NULL
"35","22","863","ON","18","58",,NULL
"35","22","863","ON","18","57",,NULL
"33","22","863","ON","18","57",,NULL
"33","22","863","ON","18","57",,NULL
"33","22","863","ON","18","57",,NULL
"33","22","863","ON","18","68",,NULL
"33","22","863","ON","18","68",,NULL
"33","22","863","OFF","18","68",,NULL
"39","22","863","OFF","18","68",,NULL
"39","22","863","OFF","55","68",,NULL
"39","30","863","OFF","55","68",,NULL
"39","30","863","OFF","55","58",,NULL
"38","30","863","OFF","55","58",,NULL
"38","20","863","OFF","55","58",,NULL
"38","20","863","OFF","26","58",,NULL
"38","20","851","OFF","26","58",,NULL
"38","20","851","OFF","26","41",,NULL
"34","20","851","OFF","26","41",,NULL
"34","20","851","OFF","38","41",,NULL
"34","26","851","OFF","38","41",,NULL
"34","26","851","OFF","38","50",,NULL
"38","26","851","OFF","38","50",,NULL
"38","26","851","OFF","31","50",,NULL
"38","25","851","OFF","31","50",,NULL
"38","25","851","OFF","31","91",,NULL
"30","25","851","OFF","31","91",,NULL
"30","25","851","OFF","16","91",,NULL
"30","25","176","OFF","16","91",,NULL
"30","26","176","OFF","16","91",,NULL
"30","26","176","OFF","16","99",,NULL
"30","26","176","OFF","16","99",,NULL
"30","26","176","ON","16","99",,NULL
"34","26","176","ON","16","99",,NULL
"34","26","176","ON","44","99",,NULL
"34","27","176","ON","44","99",,NULL
"34","27","176","ON","44","85",,NULL
"38","27","176","ON","44","85",,NULL
"38","27","176","ON","15","85",,NULL
"38","30","176","ON","15","85",,NULL
"38","30","176","ON","15","47",,NULL
"34","30","176","ON","15","47",,NULL
"34","30","87","ON","15","47",,NULL
"34","30","87","ON","31","47",,NULL
"34","20","87","ON","31","47",,NULL
"34","20","87","ON","31","41",,NULL
"32","20","87","ON","31","41",,NULL
"32","20","87","ON","45","41",,NULL
"32","27","87","ON","45","41",,NULL
"32","27","87","ON","45","60",,NULL
"34","27","87","ON","45","60",,NULL
"34","27","87","ON","30","60",,NULL
"34","29","87","ON","30","60",,NULL
"34","29","87","ON","30","97",,NULL
"34","29","87","ON","30","97",,NULL
"34","29","87","ON","30","97",,NULL
"34","29","208","ON","30","97",,NULL
"34","29","208","ON","11","97",,NULL
"30","29","208","ON","11","97",,NULL
"30","26","208","ON","11","97",,NULL
"30","26","208","ON","11","50",,NULL
"30","26","208","ON","20","50",,NULL
"40","26","208","ON","20","50",,NULL
"40","20","208","ON","20","50",,NULL
"40","20","208","ON","20","81",,NULL
"40","20","208","ON","35","81",,NULL
"40","25","208","ON","35","81",,NULL
"40","25","208","ON","35","81",,NULL
"40","25","208","ON","35","84",,NULL
"40","25","907","ON","35","84",,NULL
"40","25","907","ON","27","84",,NULL
"35","25","907","ON","27","84",,NULL
"35","21","907","ON","27","84",,NULL
"35","21","907","ON","27","83",,NULL
"35","21","907","ON","41","83",,NULL
"36","21","907","ON","41","83",,NULL
"36","30","907","ON","41","83",,NULL
"36","30","907","ON","41","82",,NULL
"36","30","907","ON","41","82",,NULL
"36","30","907","ON","41","82",,NULL
"36","30","907","ON","7","82",,NULL
"33","30","907","ON","7","82",,NULL
"33","24","907","ON","7","82",,NULL
"33","24","907","ON","7","76",,NULL
"33","24","280","ON","7","76",,NULL
"36","24","280","ON","7","76",,NULL
"36","24","280","ON","60","76",,NULL
"36","22","280","ON","60","76",,NULL
"36","22","280","ON","60","53",,NULL
"36","22","280","ON","51","53",,NULL
"33","22","280","ON","51","53",,NULL
"33","29","280","ON","51","53",,NULL
"33","29","280","ON","51","47",,NULL
"39","29","280","ON","51","47",,NULL
"39","29","280","ON","50","47",,NULL
"39","22","280","ON","50","47",,NULL
"39","22","280","ON","50","46",,NULL
"39","22","759","ON","50","46",,NULL
"39","23","759","ON","50","46",,NULL
"40","23","759","ON","50","46",,NULL
"40","23","759","ON","56","46",,NULL
"40","23","759","ON","56","47",,NULL
"40","23","759","ON","56","47",,NULL
"40","23","759","ON","56","47",,NULL
"40","23","759","ON","9","47",,NULL
"38","23","759","ON","9","47",,NULL
"38","20","759","ON","9","47",,NULL
"38","20","759","ON","9","55",,NULL
"35","20","759","ON","9","55",,NULL
"35","20","759","ON","9","55",,NULL
"35","20","759","ON","14","55",,NULL
"35","20","759","ON","14","99",,NULL
"35","20","959","ON","14","99",,NULL
"35","27","959","ON","14","99",,NULL
"35","27","959","ON","14","99",,NULL
"35","27","959","ON","37","99",,NULL
"35","27","959","ON","37","96",,NULL
"39","27","959","ON","37","96",,NULL
"39","27","959","ON","12","96",,NULL
"39","22","959","ON","12","96",,NULL
"39","22","959","ON","12","78",,NULL
"37","22","959","ON","12","78",,NULL
"37","30","959","ON","12","78",,NULL
"37","30","959","ON","22","78",,NULL
"37","30","959","ON","22","94",,NULL
"37","30","959","ON","22","94",,NULL
"37","30","959","ON","22","94",,NULL
"37","30","869","ON","22","94",,NULL
"38","30","869","ON","22","94",,NULL
"38","30","869","ON","16","94",,NULL
"38","21","869","ON","16","94",,NULL
"38","21","869","ON","16","58",,NULL
"38","21","869","ON","16","58",,NULL
"38","21","869","ON","29","58",,NULL
"38","21","869","ON","29","100",,NULL
"34","21","869","ON","29","100",,NULL
"34","20","869","ON","29","100",,NULL
"34","20","869","ON","23","100",,NULL
"34","20","869","ON","23","88",,NULL
"40","20","869","ON","23","88",,NULL
"40","20","654","ON","23","88",,NULL
"40","24","654","ON","23","88",,NULL
"40","24","654","ON","20","88",,NULL
"40","24","654","ON","20","78",,NULL
"32","24","654","ON","20","78",,NULL
"32","24","654","ON","59","78",,NULL
"32","27","654","ON","59","78",,NULL
"32","27","654","ON","59","64",,NULL
"32","27","654","ON","59","64",,NULL
"32","27","654","ON","59","64",,NULL
"32","27","654","OFF","59","64",,NULL
"32","20","654","OFF","59","64",,NULL
"32","20","654","OFF","28","64",,NULL
"32","20","654","OFF","28","58",,NULL
"31","20","654","OFF","28","58",,NULL
"31","20","216","OFF","28","58",,NULL
"31","23","216","OFF","28","58",,NULL
"31","23","216","OFF","19","58",,NULL
"31","23","216","OFF","19","47",,NULL
"30","23","216","OFF","19","47",,NULL
"30","23","216","OFF","31","47",,NULL
"30","25","216","OFF","31","47",,NULL
"39","25","216","OFF","31","47",,NULL
"39","25","216","OFF","31","88",,NULL
"39","23","216","OFF","31","88",,NULL
"39","23","216","OFF","39","88",,NULL
"39","23","216","OFF","39","88",,NULL
"32","23","216","OFF","39","88",,NULL
"32","23","61","OFF","39","88",,NULL
"32","23","61","OFF","39","88",,NULL
"32","23","61","OFF","17","88",,NULL
"32","23","61","OFF","17","72",,NULL
"39","23","61","OFF","17","72",,NULL
"39","23","61","OFF","17","72",,NULL
"39","23","61","OFF","17","72",,NULL
"39","24","61","OFF","17","72",,NULL
"39","24","61","OFF","17","53",,NULL
"39","24","61","OFF","30","53",,NULL
"32","24","61","OFF","30","53",,NULL
"32","24","61","OFF","30","97",,NULL
"32","24","61","OFF","25","97",,NULL
"32","22","61","OFF","25","97",,NULL
"32","22","61","OFF","25","97",,NULL
"32","22","181","OFF","25","97",,NULL
"32","22","181","OFF","58","97",,NULL
"32","21","181","OFF","58","97",,NULL
"32","21","181","OFF","58","67",,NULL
"33","21","181","OFF","58","67",,NULL
"37","21","181","OFF","58","67",,NULL
"37","21","181","OFF","58","76",,NULL
"37","21","181","OFF","58","76",,NULL
"37","21","181","OFF","20","76",,NULL
"37","21","181","OFF","20","76",,NULL
"37","21","181","OFF","20","56",,NULL
"37","30","181","OFF","20","56",,NULL
"31","30","181","OFF","20","56",,NULL
"31","30","181","OFF","20","56",,NULL
"31","30","181","ON","20","56",,NULL
"31","30","257","ON","20","56",,NULL
"31","30","257","ON","20","81",,NULL
"31","30","257","ON","57","81",,NULL
"31","22","257","ON","57","81",,NULL
"35","22","257","ON","57","81",,NULL
"35","22","257","ON","57","100",,NULL
"35","22","257","ON","32","100",,NULL
"35","26","257","ON","32","100",,NULL
"40","26","257","ON","32","100",,NULL
"40","26","257","ON","22","100",,NULL
"40","26","257","ON","22","68",,NULL
"40","23","257","ON","22","68",,NULL
"32","23","257","ON","22","68",,NULL
"32","23","194","ON","22","68",,NULL
"32","23","194","ON","22","92",,NULL
"32","23","194","ON","7","92",,NULL
"32","24","194","ON","7","92",,NULL
"32","24","194","ON","7","92",,NULL
"32","24","194","ON","7","65",,NULL
"32","24","194","ON","15","65",,NULL
"32","24","194","ON","15","65",,NULL
"31","24","194","ON","15","65",,NULL
"31","24","194","ON","15","65",,NULL
"31","24","194","ON","15","65",,NULL
"31","24","194","ON","15","100",,NULL
"31","24","194","ON","14","100",,NULL
"31","29","194","ON","14","100",,NULL
"32","29","194","ON","14","100",,NULL
"32","29","108","ON","14","100",,NULL
"32","29","108","ON","56","100",,NULL
"32","29","108","ON","56","72",,NULL
"32","23","108","ON","56","72",,NULL
"39","23","108","ON","56","72",,NULL
"39","23","108","ON","44","72",,NULL
"39","23","108","ON","44","70",,NULL
"39","22","108","ON","44","70",,NULL
"30","22","108","ON","44","70",,NULL
"30","22","108","ON","42","70",,NULL
"30","22","108","ON","42","60",,NULL
"30","28","108","ON","42","60",,NULL
"31","28","108","ON","42","60",,NULL
"31","28","12","ON","42","60",,NULL
"31","28","12","ON","25","60",,NULL
"31","28","12","ON","25","69",,NULL
"31","20","12","ON","25","69",,NULL
"36","20","12","ON","25","69",,NULL
"36","20","12","ON","25","69",,NULL
"36","20","12","OFF","25","69",,NULL
"36","20","12","OFF","25","45",,NULL
"36","20","12","OFF","16","45",,NULL
"36","21","12","OFF","16","45",,NULL
"30","21","12","OFF","16","45",,NULL
"30","21","12","OFF","11","45",,NULL
"30","21","12","OFF","11","81",,NULL
"30","21","12","OFF","11","81",,NULL
"30","21","12","OFF","11","81",,NULL
"30","21","123","OFF","11","81",,NULL
"30","21","123","OFF","14","81",,NULL
"30","21","123","OFF","14","83",,NULL
"30","23","123","OFF","14","83",,NULL
"38","23","123","OFF","14","83",,NULL
"38","23","123","OFF","50","83",,NULL
"38","23","123","OFF","50","56",,NULL
"38","29","123","OFF","50","56",,NULL
"38","29","123","OFF","50","56",,NULL
"38","29","123","OFF","50","82",,NULL
"38","29","123","OFF","55","82",,NULL
"38","22","123","OFF","55","82",,NULL
"36","22","123","OFF","55","82",,NULL
"36","22","123","OFF","55","82",,NULL
"36","22","123","OFF","55","82",,NULL
"36","22","607","OFF","55","82",,NULL
